sent_monotonic,phase,rtt_ms,status
75.340761538,baseline,0.11041500000885662,pass
75.34603397,baseline,0.08396600000537546,pass
75.351253392,baseline,0.09771599999908176,pass
75.356483308,baseline,0.09382000000357493,pass
75.361712051,baseline,0.10124199999950179,pass
75.366950791,baseline,0.14013000000545617,pass
75.372235759,baseline,0.105557999987127,pass
75.377480888,baseline,0.11148600000865372,pass
75.382730212,baseline,0.11068599999930484,pass
75.387982772,baseline,0.097976999995808,pass
75.393221451,baseline,0.11338899999202567,pass
75.398478748,baseline,0.11393999999143034,pass
75.403738668,baseline,0.10824199999603934,pass
75.408998388,baseline,0.10541800000396506,pass
75.414250898,baseline,0.11413099998947018,pass
75.419513743,baseline,0.11082600001088849,pass
75.424771992,baseline,0.0989779999969187,pass
75.430033615,baseline,0.08421600000474427,pass
75.43525326,baseline,0.07712600000786551,pass
75.440470627,1024,0.07083600000612478,pass
75.44566502,1024,0.08261399999298646,pass
75.450878321,1024,0.0698439999951006,pass
75.456072203,1024,0.06192200000043613,pass
75.461265304,1024,0.058878000004369824,pass
75.466438284,1024,0.0739209999949253,pass
75.471642637,1024,0.0724079999940841,pass
75.476822738,1024,0.06655900000396286,pass
75.48199646,1024,0.07222799999340168,pass
75.487177753,1024,0.06190199999878132,pass
75.492353778,1024,0.06971400000566064,pass
75.49753478,1024,0.06784200000709006,pass
75.502710805,1024,0.0729399999954694,pass
75.507883576,1024,0.06206300000144438,pass
75.513043807,1024,0.061361999996734085,pass
75.518203408,1024,0.06000999999855594,pass
75.523362347,1024,0.05663499999286614,pass
75.528517231,1024,0.06037100000355622,pass
75.533679075,1024,0.05770600000687409,pass
75.538835551,1024,0.057816999998294705,pass
75.543996343,1024,0.06942400000298221,pass
75.549164827,1024,0.06080100000360744,pass
75.554371107,1024,0.08852300000228297,pass
75.559599962,1024,0.07874700000343182,pass
75.564822837,1024,0.07869700000640023,pass
75.570060524,1024,0.08155199999748675,pass
75.575292313,1024,0.08579800000063642,pass
75.580530051,1024,0.08375500000568081,pass
75.585763051,1024,0.08107099999676848,pass
75.590992316,1024,0.09159700000793691,pass
75.596224374,1024,0.07856799999217401,pass
75.601443484,1024,0.07718499999498363,pass
75.606655954,1024,0.07477199999073036,pass
75.611865379,1024,0.07522200000664725,pass
75.617076847,1024,0.07826699999213815,pass
75.62229187,1024,0.07673500000748845,pass
75.627509188,1024,0.07769599999107868,pass
75.632723981,1024,0.0813609999994469,pass
75.637944062,1024,0.09244800000374198,pass
75.643176101,1024,0.08071100000961451,pass
75.64839511,1024,0.07893800000147166,pass
75.653592277,1024,0.0752219999924364,pass
75.658783685,1024,0.06943399999670419,pass
75.663963276,1024,0.07916799999918567,pass
75.669156967,1024,0.07349999999917145,pass
75.674349066,1024,0.06669999999076026,pass
75.679526183,1024,0.06127200001060373,pass
75.684695899,1024,0.062142999993852754,pass
75.689858805,1024,0.055212000006577,pass
75.695067208,1024,0.07974900000817797,pass
75.700283624,1024,0.07714500000588487,pass
75.705497415,1024,0.07695499999726962,pass
75.710712058,1024,0.07789699999705135,pass
75.715926701,1024,0.09031599999786977,pass
75.721157999,1024,0.10820200000694058,pass
75.726408336,1024,0.13385999999115938,pass
75.731691811,1024,0.10421599999688169,pass
75.736937461,1024,0.14655900000093425,pass
75.742239454,1024,0.1114269999931139,pass
75.747501899,1024,0.11673500000597414,pass
75.752767238,1024,0.10962399998959427,pass
75.758036082,1024,0.11406999999508116,pass
75.763296152,1024,0.10050100000569273,pass
75.768535352,1024,0.10265400000264435,pass
75.773787821,1024,0.10147199999721579,pass
75.779037066,1024,0.08905400000003283,pass
75.784259511,1024,0.09308900000348785,pass
75.789489137,1024,0.0994179999906919,pass
75.794725101,1024,0.110145000007833,pass
75.799974106,1024,0.09898800000485153,pass
75.805211633,1024,0.10295399999904475,pass
75.810436581,1024,0.08161199998824031,pass
75.815659696,1024,0.11036600000124963,pass
75.820911055,1024,0.13531199999761157,pass
75.826196093,1024,0.1094240000014679,pass
75.831458307,1024,0.10908299999812243,pass
75.836710275,1024,0.0979569999941532,pass
75.841957588,1024,0.09905800000353793,pass
75.847203487,1024,0.10747099999264265,pass
75.852452532,1024,0.110265000003551,pass
75.857698852,1024,0.10332499999776701,pass
75.86293666,1024,0.1391779999977416,pass
75.868221197,1024,0.0958140000051344,pass
75.873453367,1024,0.1043959999975641,pass
75.878694169,1024,0.11004499999955897,pass
75.883943684,1024,0.14304399999787165,pass
75.889232107,1024,0.10773200000357974,pass
75.894482023,1024,0.11256800000580824,pass
75.899737337,1024,0.10372499998823059,pass
75.90497859,1024,0.10449600000583814,pass
75.91023204,1024,0.1059789999970917,pass
75.915489948,1024,0.11409100000037142,pass
75.920753895,1024,0.11363999999502994,pass
75.926037751,1024,0.11074600000426926,pass
75.931298193,1024,0.10569799999871066,pass
75.936545585,1024,0.10906299999646762,pass
75.94179498,1024,0.10838200000762299,pass
75.947050814,1024,0.10918400001003192,pass
75.952295993,1024,0.10377599998889764,pass
75.957533831,1024,0.09736499998780346,pass
75.962750687,1024,0.078037000008635,pass
75.967966933,1024,0.10448599999790531,pass
75.973209737,1024,0.1026739999900883,pass
75.978452743,1024,0.10842199999672175,pass
75.98370364,1024,0.10876199999643177,pass
75.988954417,1024,0.10697000000448043,pass
75.994206466,1024,0.10325400000965601,pass
75.999465666,1024,0.11678399999937028,pass
76.004723843,1024,0.10970400001042435,pass
76.009976624,1024,0.07853699999316177,pass
76.015197666,1024,0.06290399998931662,pass
76.020403676,1024,0.06533699999522469,pass
76.02560534,1024,0.057345000001873814,pass
76.030796978,1024,0.11011499999824537,pass
76.03605747,1024,0.11379999999405754,pass
76.041304471,1024,0.09322900000086065,pass
76.046534838,1024,0.10815199999569813,pass
76.051782159,1024,0.10966400000711474,pass
76.05704227,1024,0.11029499999892778,pass
76.062295241,1024,0.1072799999946028,pass
76.067544335,1024,0.1039560000037909,pass
76.072789244,1024,0.10464599999693291,pass
76.07801955,1024,0.06729000000404994,pass
76.083199691,1024,0.061492000000384905,pass
76.088366212,1024,0.05397099999981947,pass
76.093531471,1024,0.0697539999947594,pass
76.098706435,1024,0.05330900000899419,pass
76.103870201,1024,0.05633499999646574,pass
76.109047098,1024,0.05319899999278732,pass
76.114197815,1024,0.04864299999951527,pass
76.119344376,1024,0.0483019999961698,pass
76.124491188,1024,0.04705999999998767,pass
76.129635545,1024,0.04624999999691681,pass
76.134783809,1024,0.0953920000057451,pass
76.139978192,1024,0.08908300000598501,pass
76.145172324,1024,0.06905300000425996,pass
76.15034261,1024,0.05552300000033483,pass
76.155498766,1024,0.049383000003899724,pass
76.160658366,1024,0.0601199999863411,pass
76.165827671,1024,0.05504300000325202,pass
76.170990807,1024,0.06661000000462991,pass
76.176171639,1024,0.05363100000010945,pass
76.181334164,1024,0.05416099999422386,pass
76.186548036,1024,0.07000499999776366,pass
76.191755328,1024,0.057897000004913934,pass
76.196943982,1024,0.11103600000694769,pass
76.202189801,1024,0.10195299999793406,pass
76.207425687,1024,0.09114600000259543,pass
76.212626098,1024,0.06788199999618882,pass
76.217798688,1024,0.053941000004442685,pass
76.222952871,1024,0.05643400000110432,pass
76.228110598,1024,0.05242899999302608,pass
76.233262577,1024,0.05463200000122015,pass
76.238422238,1024,0.05049600000006649,pass
76.243582771,1024,0.05490199998803291,pass
76.248753187,1024,0.058186999993381505,pass
76.253965377,1024,0.07377999999391704,pass
76.259190685,1024,0.1369950000054132,pass
76.264489204,1024,0.11504200000445053,pass
76.269755013,1024,0.11414100001161387,pass
76.27501895,1024,0.07906799999091163,pass
76.280232741,1024,0.10720099999161903,pass
76.285475336,1024,0.10140199999852939,pass
76.290715647,1024,0.10356500000341384,pass
76.295955679,1024,0.10252299999535808,pass
76.301198223,1024,0.11052499999664178,pass
76.306447358,1024,0.1075410000055399,pass
76.311696332,1024,0.0993990000068834,pass
76.3169344,1024,0.11609400000622827,pass
76.322191877,1024,0.10306400000104077,pass
76.327441402,1024,0.11599299999431878,pass
76.332712219,1024,0.11688499999706892,pass
76.337980342,1024,0.10713000000350803,pass
76.343236177,1024,0.10608899999908772,pass
76.348490889,1024,0.11523300000249037,pass
76.353758993,1024,0.11090600000329687,pass
76.359026024,1024,0.08001999999862619,pass
76.364240016,1024,0.10601799999676587,pass
76.369480538,1024,0.1045359999949369,pass
76.37472158,1024,0.09886799999492268,pass
76.379956844,1024,0.09479199999873344,pass
76.385191637,1024,0.10588799999311505,pass
76.390437637,1024,0.10834199999010252,pass
76.395687142,1024,0.12698000000455067,pass
76.400962266,1024,0.09708500000726872,pass
76.406204279,1024,0.1039360000021361,pass
76.411455377,1024,0.11232800000016141,pass
76.416721617,1024,0.11472100000275987,pass
76.421987456,1024,0.10685000000876244,pass
76.427243852,1024,0.10257299999238967,pass
76.432494759,1024,0.09726600001158658,pass
76.437740609,1024,0.10542699999405158,pass
76.442983584,1024,0.09742599999640333,pass
76.448215884,1024,0.10684999999455158,pass
76.453443285,1024,0.07662499999128158,pass
76.458658249,1024,0.10805200000163495,pass
76.463902026,1024,0.11681399999474706,pass
76.469158551,1024,0.11217799999485578,pass
76.474409388,1024,0.11152700000138793,pass
76.479662338,1024,0.10714100000086546,pass
76.484911233,1024,0.1035149999921714,pass
76.490157292,1024,0.10992499998963012,pass
76.495412066,1024,0.11544199999491411,pass
76.500679707,1024,0.10489699999993718,pass
76.505932478,1024,0.14584799998829112,pass
76.511236264,1024,0.11253899999985606,pass
76.51649312,1024,0.09751599999674454,pass
76.521734753,1024,0.07188799999369166,pass
76.526942276,1024,0.06967400000235102,pass
76.532145842,1024,0.06114199999274206,pass
76.537344,1024,0.05944899999121844,pass
76.542542549,1024,0.10647999999946478,pass
76.547786576,1024,0.10215300000027128,pass
76.553043733,1024,0.11394999999936317,pass
76.55829456,1024,0.10608800000966312,pass
76.563542353,1024,0.10619900000108373,pass
76.568789454,1024,0.1057280000082983,pass
76.57405306,1024,0.10605800000007548,pass
76.579302805,1024,0.13424099999781447,pass
76.584588866,1024,0.11688499999706892,pass
76.589854114,1024,0.11579299999198156,pass
76.595121385,1024,0.10874299999841242,pass
76.600373635,1024,0.10013000000697048,pass
76.60562357,1024,0.10261399999933474,pass
76.610864653,1024,0.10482700000125078,pass
76.616087178,1024,0.07922800000415009,pass
76.621300299,1024,0.10324400000172318,pass
76.626542172,1024,0.10180200000320383,pass
76.631779479,1024,0.10278399999208432,pass
76.63703262,1024,0.08288399999401008,pass
76.64225202,1024,0.1043759999959093,pass
76.647496738,1024,0.10267400000429916,pass
76.652712793,1024,0.07058499998890966,pass
76.657891532,1024,0.05418100001008952,pass
76.663058794,1024,0.05464200000915298,pass
76.668225065,1024,0.06187200000340454,pass
76.673393619,1024,0.05816700000593755,pass
76.678558567,1024,0.05156699999986358,pass
76.683722524,1024,0.05412099999091424,pass
76.688877117,1024,0.0534899999991012,pass
76.694032101,1024,0.048491999990574186,pass
76.699180485,1024,0.07712500000423006,pass
76.704353165,1024,0.08202200000084758,pass
76.709532765,1024,0.08465699998794207,pass
76.714756301,1024,0.0949520000119719,pass
76.719969993,1024,0.09745599999178012,pass
76.725172548,1024,0.09044499999788513,pass
76.730365679,1024,0.08424600000012106,pass
76.735552981,1024,0.08671999999876334,pass
76.740782086,1024,0.09701500000858232,pass
76.746033704,1024,0.11874800000555297,pass
76.751311501,1024,0.10459599999990132,pass
76.756557992,1024,0.10327399999709996,pass
76.761808679,1024,0.10647899999582933,pass
76.767057082,1024,0.09827700000641926,pass
76.77230153,1024,0.10378500000740587,pass
76.777546958,1024,0.10383599999386206,pass
76.78278687,1024,0.10793100000228151,pass
76.788042153,1024,0.08849199998905988,pass
76.793266591,1024,0.10461600000155613,pass
76.798509376,1024,0.10392500000477867,pass
76.803752722,1024,0.10566800000333387,pass
76.808978301,1024,0.1014220000001842,pass
76.814218191,1024,0.10576900000103251,pass
76.819464081,1024,0.11170799999149494,pass
76.82471586,1024,0.09438099999670158,pass
76.82995522,1024,0.11110599999142323,pass
76.835218015,1024,0.1119870000110268,pass
76.840473409,1024,0.10322400000006837,pass
76.845726759,1024,0.10491700000159199,pass
76.850978208,1024,0.10727000000088083,pass
76.856233362,1024,0.10392500000477867,pass
76.861481454,1024,0.10646900000210735,pass
76.866723078,1024,0.1071199999955752,pass
76.871964771,1024,0.10973400000580114,pass
76.877209339,1024,0.09321899999292782,pass
76.882438263,1024,0.10422600000481452,pass
76.88768249,1024,0.11030499999264975,pass
76.892930333,1024,0.1435040000075105,pass
76.8982213,1024,0.10377499999947304,pass
76.903464816,1024,0.10585900000137372,pass
76.908715373,1024,0.09853699999951004,pass
76.913958748,1024,0.0996090000029426,pass
76.919207383,1024,0.10605800000007548,pass
76.924467764,1024,0.10448599999790531,pass
76.929722777,1024,0.10616900000570695,pass
76.93497745,1024,0.10354500000175904,pass
76.940228167,1024,0.10380499999484982,pass
76.945453015,1024,0.07642399999951976,pass
76.950665215,1024,0.10103099999980714,pass
